Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"AMS1117","5 TO 3.3V",5,1.13,"https://www.lcsc.com/product-detail/C6186.html","LCSC"
"PCB","PCB'ING",5,2.00,"","JLCPCB"
"ESP32-S3-WROOM-1-N8","Computing",1,4.79,"https://www.lcsc.com/product-detail/C2913198.html","LCSC"
"100mW 240Ω 75V Resistor","Make led light",100,0.16,"https://www.lcsc.com/product-detail/C114629.html","LCSC"
"100mW 10kΩ 75V","Resistoring resistance and impedance ",100,0.14,"https://www.lcsc.com/product-detail/C98220.html","LCSC"
"5.1kΩ ±1% 100mW 0603 Resistor","Resistoring a resistance",100,0.12,"https://www.lcsc.com/product-detail/C2907044.html","LCSC"
"22Ω ±1% 100mW 0603 Resistor","Resistor for resistoring",100,0.13,"https://www.lcsc.com/product-detail/C23345.html","LCSC"
"USB-C Conn","This is usb for power and data",5,0.84,"https://www.lcsc.com/product-detail/C165948.html","LCSC"
"Emerald Green LED DIODE","Indicating Voltage",100,0.51,"https://www.lcsc.com/product-detail/C965804.html","LCSC"
"1uF ±10% 50V Ceramic Capacitor","Capacitorrr",50,0.39,"https://www.lcsc.com/product-detail/C15849.html","LCSC"
"100nF ±10% 50V Ceramic Capacitor","Capacitor ",200,0.64,"https://www.lcsc.com/product-detail/C14663.html","LCSC"
"10uF ±10% 10V Ceramic Capacitor","Cap ;)",50,0.40,"https://www.lcsc.com/product-detail/C19702.html","LCSC"
