Designator,Mid X,Mid Y,Rotation,Layer
C1,188.63,-80.61,270.0,bottom
C2,188.21,-76.98,0.0,bottom
C3,185.56,-78.95,0.0,bottom
C4,184.0,-66.9925,270.0,bottom
C5,186.19,-67.0,90.0,bottom
C6,174.27,-79.06,0.0,bottom
D1,199.0,-96.0,90.0,top
D2,197.0,-96.0,90.0,top
J1,190.0,-100.0,0.0,top
J2,193.513922,-89.753208,90.0,top
J3,176.893922,-89.753208,0.0,top
R1,175.97,-83.85,180.0,top
R2,175.97,-85.57,180.0,top
R3,182.15,-98.95,0.0,top
R4,182.14,-100.65,180.0,top
R5,178.27,-77.86,0.0,bottom
R6,199.0,-100.0,270.0,top
R7,197.0,-100.0,270.0,top
SW1,175.0,-78.0,90.0,top
SW2,205.0,-78.0,90.0,top
U1,190.0,-71.15,0.0,top
U2,194.0,-78.0,270.0,bottom
